net,length_um
_08202_,142.1
_10992_,142.02
_09553_,141.98
_05507_,141.92
_14232_,141.9
_09555_,141.74
_07878_,141.69
_07157_,141.66
_03258_,141.62
_07223_,141.62
_07380_,141.42
_10880_,141.38
_05789_,141.32
_10845_,141.24
_11255_,140.74
_01256_,140.72
_03105_,140.58
_01887_,140.35
_03645_,140.27
_12562_,140.16
_02907_,140.14
_09576_,140.07
_09350_,140
_01285_,139.95
_06130_,139.88
_13445_,139.86
_12662_,139.71
_09516_,139.46
_07343_,139.445
_01023_,139.34
_08046_,139.32
_07396_,139.24
_07909_,139.175
_04266_,139.16
_00838_,139.1
_08637_,139.08
_09276_,138.88
_12200_,138.86
_07616_,138.85
_08022_,138.735
_09895_,138.67
_09514_,138.41
_01475_,138.32
_04493_,138.26
_10566_,138.25
_14282_,138.24
_07317_,138.22
_10501_,138.14
_09567_,138.12
_08019_,138.04
_07311_,138.01
_01411_,137.83
_09715_,137.74
_04463_,137.7
u_rom2.addr\[0\],137.68
_06354_,137.625
_07047_,137.54
_10828_,137.46
_07923_,137.38
_14390_,137.3
_07393_,137.16
_14367_,137.11
_02801_,137.04
_01701_,137.02
_07273_,136.97
_05832_,136.94
_07454_,136.92
_11083_,136.7
_06725_,136.62
_02842_,136.54
_07184_,136.47
_06003_,136.46
_06999_,136.4
_05007_,136.36
_03609_,136.28
_10910_,136.2
_07916_,136.14
_14483_,136.12
_12681_,136.1
_02822_,136.06
_11535_,136.05
_01349_,135.92
_09964_,135.83
_07290_,135.775
_08355_,135.755
_14245_,135.64
_02692_,135.52
_09996_,135.34
_08428_,135.3
_04270_,135.26
_02719_,135.23
_06550_,135.22
_09885_,135.16
_08892_,135.11
_10656_,135.08
_04621_,135.02
_10913_,134.99
_10076_,134.895
_05926_,134.88
u_s3.phase_counter\[0\],134.86
_05940_,134.76
_00928_,134.74
_01374_,134.56
_01989_,134.52
_02135_,134.38
_01994_,134.28
_02629_,134.28
_02728_,134.18
_08798_,134.16
_11027_,133.95
_00917_,133.92
_02315_,133.92
_10166_,133.92
_04507_,133.86
_01662_,133.8
_14472_,133.74
_05914_,133.72
_14243_,133.4
_14314_,133.1
_14455_,132.94
_03778_,132.88
_06526_,132.84
_08154_,132.78
_03081_,132.72
_01083_,132.69
_07740_,132.54
_09718_,132.38
_02116_,132.34
_09277_,132.3
_10993_,132.28
_09899_,132.22
_04561_,132.2
_13224_,132.14
_01022_,132.1
_07345_,132.1
_02490_,132.07
_10036_,132.04
_01544_,131.93
_09675_,131.8
_10619_,131.74
_11261_,131.68
_07903_,131.6
_08815_,131.6
_07377_,131.58
_07140_,131.47
_00833_,131.44
_10823_,131.42
